D:\Data\IMG\center_2019_03_30_21_21_13_412.jpg, D:\Data\IMG\left_2019_03_30_21_21_13_412.jpg, D:\Data\IMG\right_2019_03_30_21_21_13_412.jpg, 0, 0, 0, 1.470077
D:\Data\IMG\center_2019_03_30_21_21_13_564.jpg, D:\Data\IMG\left_2019_03_30_21_21_13_564.jpg, D:\Data\IMG\right_2019_03_30_21_21_13_564.jpg, 0, 0, 0, 1.443134
D:\Data\IMG\center_2019_03_30_21_21_13_666.jpg, D:\Data\IMG\left_2019_03_30_21_21_13_666.jpg, D:\Data\IMG\right_2019_03_30_21_21_13_666.jpg, 0, 0, 0, 1.426514
D:\Data\IMG\center_2019_03_30_21_21_13_772.jpg, D:\Data\IMG\left_2019_03_30_21_21_13_772.jpg, D:\Data\IMG\right_2019_03_30_21_21_13_772.jpg, 0, 0, 0, 1.40679
D:\Data\IMG\center_2019_03_30_21_21_13_875.jpg, D:\Data\IMG\left_2019_03_30_21_21_13_875.jpg, D:\Data\IMG\right_2019_03_30_21_21_13_875.jpg, 0, 0, 0, 1.390534
D:\Data\IMG\center_2019_03_30_21_21_13_978.jpg, D:\Data\IMG\left_2019_03_30_21_21_13_978.jpg, D:\Data\IMG\right_2019_03_30_21_21_13_978.jpg, 0, 0, 0, 1.374442
D:\Data\IMG\center_2019_03_30_21_21_14_081.jpg, D:\Data\IMG\left_2019_03_30_21_21_14_081.jpg, D:\Data\IMG\right_2019_03_30_21_21_14_081.jpg, 0, 0.3096486, 0, 1.58563
D:\Data\IMG\center_2019_03_30_21_21_14_194.jpg, D:\Data\IMG\left_2019_03_30_21_21_14_194.jpg, D:\Data\IMG\right_2019_03_30_21_21_14_194.jpg, 0, 0.6434849, 0, 2.274202
D:\Data\IMG\center_2019_03_30_21_21_14_297.jpg, D:\Data\IMG\left_2019_03_30_21_21_14_297.jpg, D:\Data\IMG\right_2019_03_30_21_21_14_297.jpg, 0, 0.9585359, 0, 3.28279
D:\Data\IMG\center_2019_03_30_21_21_14_402.jpg, D:\Data\IMG\left_2019_03_30_21_21_14_402.jpg, D:\Data\IMG\right_2019_03_30_21_21_14_402.jpg, 0, 1, 0, 4.449101
